Natural Language Query,SQL Query,Schema,Top 5 Entries of Table
Give total crimes occurred in Atlanta on each day of the week,"SELECT
  DAYOFWEEK(`atlanta_crime_data`.`Crime_Date`) AS `Crime_Date`,
  COUNT(*) AS `count`
FROM
  `atlanta_crime_data`
GROUP BY
  DAYOFWEEK(`atlanta_crime_data`.`Crime_Date`)
ORDER BY
  DAYOFWEEK(`atlanta_crime_data`.`Crime_Date`) ASC","atlanta_crime_data (Crime_ID, Report_#, Day_Occurred, Crime_Date, Crime_Time, Crime_Type, Area_Name, Address, Longitude, Latitude)","2; 203,581,144; Wednesday; December 23, 2020;  17:16; LARCENY-FROM VEHICLE; Midtown; 736 W PEACHTREE ST NW; 84.38777100 W; 33.77476400 N
3; 203,581,174; Saturday; December 19, 2020; 21:50; LARCENY-FROM VEHICLE; Lindbergh/Morosgo; 2399 PIEDMONT RD NE; 84.36693800 W; 33.81989200 N
4; 203,581,238; Wednesday; December 23, 2020; 18:05; AUTO THEFT; Buckhead Village; 339 BUCKHEAD AVE NE; 84.37650600 W; 33.83793500 N
5; 203,581,247; Wednesday; December 23, 2020; 18:12; LARCENY-NON VEHICLE; Berkeley Park; 1801 HOWELL MILL RD NW; 84.41284600 W; 33.80423000 N
6; 203,581,253; Wednesday; December 23, 2020; 18:00; AGG ASSAULT; Browns Mill Park; 585 MCWILLIAMS RD SE; 84.36820700 W; 33.68756600 N"
Give total crimes occurred in Atlanta during each month of the year,"SELECT
    MONTH(Crime_Date) AS Month,
    COUNT(*) AS Crime_Count
FROM
    atlanta_crime_data
GROUP BY
    MONTH(Crime_Date)
ORDER BY
    MONTH(Crime_Date);","atlanta_crime_data (Crime_ID, Report_#, Day_Occurred, Crime_Date, Crime_Time, Crime_Type, Area_Name, Address, Longitude, Latitude)","2; 203,581,144; Wednesday; December 23, 2020;  17:16; LARCENY-FROM VEHICLE; Midtown; 736 W PEACHTREE ST NW; 84.38777100 W; 33.77476400 N
3; 203,581,174; Saturday; December 19, 2020; 21:50; LARCENY-FROM VEHICLE; Lindbergh/Morosgo; 2399 PIEDMONT RD NE; 84.36693800 W; 33.81989200 N
4; 203,581,238; Wednesday; December 23, 2020; 18:05; AUTO THEFT; Buckhead Village; 339 BUCKHEAD AVE NE; 84.37650600 W; 33.83793500 N
5; 203,581,247; Wednesday; December 23, 2020; 18:12; LARCENY-NON VEHICLE; Berkeley Park; 1801 HOWELL MILL RD NW; 84.41284600 W; 33.80423000 N
6; 203,581,253; Wednesday; December 23, 2020; 18:00; AGG ASSAULT; Browns Mill Park; 585 MCWILLIAMS RD SE; 84.36820700 W; 33.68756600 N"
Give total crimes occurred in Atlanta at each hour of the day,"SELECT
  CASE
    WHEN HOUR(STR_TO_DATE(`atlanta_crime_data`.`Crime_Time`, '%H:%i:%s')) = 0 THEN 24
    ELSE HOUR(STR_TO_DATE(`atlanta_crime_data`.`Crime_Time`, '%H:%i:%s'))
  END AS `Hour`,
  COUNT(*) AS `Count`
FROM
  `atlanta_crime_data`
GROUP BY
  `Hour`
ORDER BY
  `Hour` ASC","atlanta_crime_data (Crime_ID, Report_#, Day_Occurred, Crime_Date, Crime_Time, Crime_Type, Area_Name, Address, Longitude, Latitude)","2; 203,581,144; Wednesday; December 23, 2020;  17:16; LARCENY-FROM VEHICLE; Midtown; 736 W PEACHTREE ST NW; 84.38777100 W; 33.77476400 N
3; 203,581,174; Saturday; December 19, 2020; 21:50; LARCENY-FROM VEHICLE; Lindbergh/Morosgo; 2399 PIEDMONT RD NE; 84.36693800 W; 33.81989200 N
4; 203,581,238; Wednesday; December 23, 2020; 18:05; AUTO THEFT; Buckhead Village; 339 BUCKHEAD AVE NE; 84.37650600 W; 33.83793500 N
5; 203,581,247; Wednesday; December 23, 2020; 18:12; LARCENY-NON VEHICLE; Berkeley Park; 1801 HOWELL MILL RD NW; 84.41284600 W; 33.80423000 N
6; 203,581,253; Wednesday; December 23, 2020; 18:00; AGG ASSAULT; Browns Mill Park; 585 MCWILLIAMS RD SE; 84.36820700 W; 33.68756600 N"
Give total count of crimes in Atlanta grouped by week since January 2009,"SELECT
  STR_TO_DATE(
    CONCAT(
      YEARWEEK(`atlanta_crime_data`.`Crime_Date`),
      ' Sunday'
    ),
    '%X%V %W'
  ) AS `Crime_Date`,
  count(distinct `atlanta_crime_data`.`Report_#`) AS `count`
FROM
  `atlanta_crime_data`
WHERE
  `atlanta_crime_data`.`Crime_Date` >= convert_tz(
    '2009-01-05 00:00:00.000',
    'America/New_York',
    @@session.time_zone
  )
GROUP BY
  STR_TO_DATE(
    CONCAT(
      YEARWEEK(`atlanta_crime_data`.`Crime_Date`),
      ' Sunday'
    ),
    '%X%V %W'
  )
ORDER BY
  STR_TO_DATE(
    CONCAT(
      YEARWEEK(`atlanta_crime_data`.`Crime_Date`),
      ' Sunday'
    ),
    '%X%V %W'
  ) ASC","atlanta_crime_data (Crime_ID, Report_#, Day_Occurred, Crime_Date, Crime_Time, Crime_Type, Area_Name, Address, Longitude, Latitude)","2; 203,581,144; Wednesday; December 23, 2020;  17:16; LARCENY-FROM VEHICLE; Midtown; 736 W PEACHTREE ST NW; 84.38777100 W; 33.77476400 N
3; 203,581,174; Saturday; December 19, 2020; 21:50; LARCENY-FROM VEHICLE; Lindbergh/Morosgo; 2399 PIEDMONT RD NE; 84.36693800 W; 33.81989200 N
4; 203,581,238; Wednesday; December 23, 2020; 18:05; AUTO THEFT; Buckhead Village; 339 BUCKHEAD AVE NE; 84.37650600 W; 33.83793500 N
5; 203,581,247; Wednesday; December 23, 2020; 18:12; LARCENY-NON VEHICLE; Berkeley Park; 1801 HOWELL MILL RD NW; 84.41284600 W; 33.80423000 N
6; 203,581,253; Wednesday; December 23, 2020; 18:00; AGG ASSAULT; Browns Mill Park; 585 MCWILLIAMS RD SE; 84.36820700 W; 33.68756600 N"
Give total crimes occurred in LA on each day of the week,"SELECT
  DAYOFWEEK(`la_crime_data`.`Crime_Date`) AS `Crime_Date`,
  COUNT(*) AS `count`
FROM
  `la_crime_data`
GROUP BY
  DAYOFWEEK(`la_crime_data`.`Crime_Date`)
ORDER BY
  DAYOFWEEK(`la_crime_data`.`Crime_Date`) ASC","la_crime_data (Crime_ID, Report_#, Date_Reported, Crime_Date, Crime_Time, Crime_Type, Area_Name, Vict_Age, Vict_Sex, Weapon_Desc, Address, Latitude, Longitude)","2; 200,106,753; September 2, 2020; August 2, 2020; 1,800; BURGLARY FROM VEHICLE; Central; 47; M; 1000 S FLOWER ST; 34.04440000 N; 118.26280000 W
3; 200,320,258; November 11, 2020; April 11, 2020; 1,700; BIKE - STOLEN; Southwest; 19; X; 1400 W 37TH ST; 34.02100000 N; 118.30020000 W
4; 200,907,217; October 5, 2023; October 3, 2020; 2,037; SHOPLIFTING-GRAND THEFT ($950.01 & OVER); Van Nuys; 19; M; 14000 RIVERSIDE DR; 34.15760000 N; 118.43870000 W
5; 220,614,831; August 18, 2022; August 17, 2020; 1,200; THEFT OF IDENTITY; Hollywood; 28; M; 1900 TRANSIENT; 34.09440000 N; 118.32770000 W
6; 231,808,869; April 4, 2023; January 12, 2020; 2,300; THEFT OF IDENTITY; Southeast; 41; M; 9900 COMPTON AV; 33.94670000 N; 118.24630000 W"
Give total crimes occurred in LA during each month of the year,"SELECT
    MONTH(Crime_Date) AS Month,
    COUNT(*) AS Crime_Count
FROM
    la_crime_data
GROUP BY
    MONTH(Crime_Date)
ORDER BY
    MONTH(Crime_Date);","la_crime_data (Crime_ID, Report_#, Date_Reported, Crime_Date, Crime_Time, Crime_Type, Area_Name, Vict_Age, Vict_Sex, Weapon_Desc, Address, Latitude, Longitude)","2; 200,106,753; September 2, 2020; August 2, 2020; 1,800; BURGLARY FROM VEHICLE; Central; 47; M; 1000 S FLOWER ST; 34.04440000 N; 118.26280000 W
3; 200,320,258; November 11, 2020; April 11, 2020; 1,700; BIKE - STOLEN; Southwest; 19; X; 1400 W 37TH ST; 34.02100000 N; 118.30020000 W
4; 200,907,217; October 5, 2023; October 3, 2020; 2,037; SHOPLIFTING-GRAND THEFT ($950.01 & OVER); Van Nuys; 19; M; 14000 RIVERSIDE DR; 34.15760000 N; 118.43870000 W
5; 220,614,831; August 18, 2022; August 17, 2020; 1,200; THEFT OF IDENTITY; Hollywood; 28; M; 1900 TRANSIENT; 34.09440000 N; 118.32770000 W
6; 231,808,869; April 4, 2023; January 12, 2020; 2,300; THEFT OF IDENTITY; Southeast; 41; M; 9900 COMPTON AV; 33.94670000 N; 118.24630000 W"
Give total crimes occurred in LA at each hour of the day,"SELECT
  FLOOR(`la_crime_data`.`Crime_Time` / 100) + 1 AS `Hour`,
  COUNT(*) AS `Count`
FROM
  `la_crime_data`
GROUP BY
  `Hour`
ORDER BY
  `Hour` ASC","la_crime_data (Crime_ID, Report_#, Date_Reported, Crime_Date, Crime_Time, Crime_Type, Area_Name, Vict_Age, Vict_Sex, Weapon_Desc, Address, Latitude, Longitude)","2; 200,106,753; September 2, 2020; August 2, 2020; 1,800; BURGLARY FROM VEHICLE; Central; 47; M; 1000 S FLOWER ST; 34.04440000 N; 118.26280000 W
3; 200,320,258; November 11, 2020; April 11, 2020; 1,700; BIKE - STOLEN; Southwest; 19; X; 1400 W 37TH ST; 34.02100000 N; 118.30020000 W
4; 200,907,217; October 5, 2023; October 3, 2020; 2,037; SHOPLIFTING-GRAND THEFT ($950.01 & OVER); Van Nuys; 19; M; 14000 RIVERSIDE DR; 34.15760000 N; 118.43870000 W
5; 220,614,831; August 18, 2022; August 17, 2020; 1,200; THEFT OF IDENTITY; Hollywood; 28; M; 1900 TRANSIENT; 34.09440000 N; 118.32770000 W
6; 231,808,869; April 4, 2023; January 12, 2020; 2,300; THEFT OF IDENTITY; Southeast; 41; M; 9900 COMPTON AV; 33.94670000 N; 118.24630000 W"
Give total count of crimes in LA grouped by week,"SELECT
  STR_TO_DATE(
    CONCAT(YEARWEEK(`la_crime_data`.`Crime_Date`), ' Sunday'),
    '%X%V %W'
  ) AS `Crime_Date`,
  count(distinct `la_crime_data`.`Report_#`) AS `count`
FROM
  `la_crime_data`
GROUP BY
  STR_TO_DATE(
    CONCAT(YEARWEEK(`la_crime_data`.`Crime_Date`), ' Sunday'),
    '%X%V %W'
  )
ORDER BY
  STR_TO_DATE(
    CONCAT(YEARWEEK(`la_crime_data`.`Crime_Date`), ' Sunday'),
    '%X%V %W'
  ) ASC","la_crime_data (Crime_ID, Report_#, Date_Reported, Crime_Date, Crime_Time, Crime_Type, Area_Name, Vict_Age, Vict_Sex, Weapon_Desc, Address, Latitude, Longitude)","2; 200,106,753; September 2, 2020; August 2, 2020; 1,800; BURGLARY FROM VEHICLE; Central; 47; M; 1000 S FLOWER ST; 34.04440000 N; 118.26280000 W
3; 200,320,258; November 11, 2020; April 11, 2020; 1,700; BIKE - STOLEN; Southwest; 19; X; 1400 W 37TH ST; 34.02100000 N; 118.30020000 W
4; 200,907,217; October 5, 2023; October 3, 2020; 2,037; SHOPLIFTING-GRAND THEFT ($950.01 & OVER); Van Nuys; 19; M; 14000 RIVERSIDE DR; 34.15760000 N; 118.43870000 W
5; 220,614,831; August 18, 2022; August 17, 2020; 1,200; THEFT OF IDENTITY; Hollywood; 28; M; 1900 TRANSIENT; 34.09440000 N; 118.32770000 W
6; 231,808,869; April 4, 2023; January 12, 2020; 2,300; THEFT OF IDENTITY; Southeast; 41; M; 9900 COMPTON AV; 33.94670000 N; 118.24630000 W"
Give total crimes occurred in New York on each day of the week,"SELECT
  DAYOFWEEK(`nyc_crime_data`.`Crime_Date`) AS `Crime_Date`,
  COUNT(*) AS `count`
FROM
  `nyc_crime_data`
GROUP BY
  DAYOFWEEK(`nyc_crime_data`.`Crime_Date`)
ORDER BY
  DAYOFWEEK(`nyc_crime_data`.`Crime_Date`) ASC","nyc_crime_data (Crime_ID, Report_#, Crime_Date, Crime_Time, Crime_Class, Crime_Type, Area_Name, Latitude, Longitude)","2; 262102261; January 18, 2023; 2:00 PM; FELONY; FORGERY; BRONX; 40.83585867 N; 73.87212505 W
3; 267972239; July 5, 2023; 12:15 AM; FELONY; FELONY ASSAULT; BRONX; 40.83150000 N; 73.86340000 W
4; 263141402H1; June 2, 2023; 10:16 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; BROOKLYN; ; 
5; 269307857H1; April 6, 2023; 12:20 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; BROOKLYN; ; 
6; 277525074H3; November 14, 2023; 7:05 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; QUEENS; ; "
Give total crimes occurred in New York during each month of the year,"SELECT
    MONTH(Crime_Date) AS Month,
    COUNT(*) AS Crime_Count
FROM
    nyc_crime_data
GROUP BY
    MONTH(Crime_Date)
ORDER BY
    MONTH(Crime_Date);","nyc_crime_data (Crime_ID, Report_#, Crime_Date, Crime_Time, Crime_Class, Crime_Type, Area_Name, Latitude, Longitude)","2; 262102261; January 18, 2023; 2:00 PM; FELONY; FORGERY; BRONX; 40.83585867 N; 73.87212505 W
3; 267972239; July 5, 2023; 12:15 AM; FELONY; FELONY ASSAULT; BRONX; 40.83150000 N; 73.86340000 W
4; 263141402H1; June 2, 2023; 10:16 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; BROOKLYN; ; 
5; 269307857H1; April 6, 2023; 12:20 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; BROOKLYN; ; 
6; 277525074H3; November 14, 2023; 7:05 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; QUEENS; ; "
