Natural Language Query,SQL Query,Schema,Top 5 Entries of Table
Get count of mass shootings for each month in USA.,"SELECT
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  ) AS `IncidentDate`,
  COUNT(*) AS `count`
FROM
  `us_shootings`
GROUP BY
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  )
ORDER BY
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  ) ASC","us_shootings (IncidentID, Address, IncidentDate, State, CityOrCountry, VictimsKilled, VictimsInjured, SuspectsInjured, SuspectsKilled, SuspectsArrested)","92194; Rockingham Street and Berkley Avenue Extended; January 1, 2014; virginia; Norfolk; 2; 2; 0; 0; 0 
92704; Farmers Boulevard and 133rd Avenue; January 3, 2014; new york; Queens; 1; 3; 0; 0; 0
94514; 829 Parade St; January 5, 2014; pennsylvania; Erie; 1; 3; 0; 0; 0
95146; 3430 W. Capitol Street; January 11, 2014; mississippi; Jackson; 0; 4; 0; 0; 0
95500; 3600 block of Highway 80 W; January 12, 2014; louisiana; Tallulah; 0; 6; 0; 0; 8"
"For each state, get total suspects arrested per million capita","SELECT T1.State, (CAST(T1.SuspectsArrestedSum AS decimal) / CAST((T2.PopulationCount/1000000) AS decimal)) AS SuspectsArrestedPerMillionCapita FROM 
(SELECT State, year(IncidentDate) as IncidentYear, Sum(SuspectsArrested) AS SuspectsArrestedSum from us_shootings GROUP BY State, IncidentYear) T1
JOIN 
(SELECT State, PopulationCount FROM us_population GROUP BY State, PopulationCount) T2
ON T1.State LIKE T2.State
ORDER BY SuspectsArrestedPerMillionCapita DESC","us_population (CensurYear, State, PopulationCount)
us_shootings (IncidentID, Address, IncidentDate, State, CityOrCountry, VictimsKilled, VictimsInjured, SuspectsInjured, SuspectsKilled, SuspectsArrested)","2010; alabama; 4779736
2010; alaska; 710231
2010; american samoa; 55519
2010; arizona; 6392017
2010; arkansas; 477936

92194; Rockingham Street and Berkley Avenue Extended; January 1, 2014; virginia; Norfolk; 2; 2; 0; 0; 0 
92704; Farmers Boulevard and 133rd Avenue; January 3, 2014; new york; Queens; 1; 3; 0; 0; 0
94514; 829 Parade St; January 5, 2014; pennsylvania; Erie; 1; 3; 0; 0; 0
95146; 3430 W. Capitol Street; January 11, 2014; mississippi; Jackson; 0; 4; 0; 0; 0
95500; 3600 block of Highway 80 W; January 12, 2014; louisiana; Tallulah; 0; 6; 0; 0; 8"
Get count of homeless population and US shooting incidents for each year.,"SELECT * FROM 
(SELECT Count(*) as IncidentCount, year(IncidentDate) as IncidentYear   FROM us_shootings GROUP BY IncidentYear) T1
JOIN
(SELECT sum(EXPERIENCING_HOMELESSNESS_CNT) as HomelessnessCount, CALENDAR_YEAR FROM experiencing_homelessness_age_demographics group by CALENDAR_YEAR) T2
ON T2.CALENDAR_YEAR = T1.IncidentYear 
ORDER BY IncidentCount DESC ","experiencing_homelessness_age_demographics (CALENDAR_YEAR, LOCATION, AGE_GROUP_PUBLIC, EXPERIENCING_HOMELESSNESS_CNT)","2,017; California; 25-34; 28,654
2,017; California; 35-44; 25,831
2,017; California; 45-54; 27,651
2,017; California; 55-64; 23,396
2,017; California; 65+; 7,111"
Get homeless population per capita for each county of California.,"SELECT T2.County, (CAST(T1.HomelessnessCount AS decimal) / CAST((T2.PopulationCountSum) AS decimal)) AS HomelessnessCountCapita FROM
(SELECT sum(EXPERIENCING_HOMELESSNESS_CNT) as HomelessnessCount, lower(LOCATION) as Area FROM experiencing_homelessness_age_demographics WHERE LOCATION NOT LIKE ""california"" group by Area order by HomelessnessCount) T1
join
(SELECT County, Sum(PopulationCount) as PopulationCountSum FROM us_population_county GROUP BY County) T2
ON T1.Area LIKE concat('%', T2.County, '%')
ORDER BY HomelessnessCountCapita DESC","experiencing_homelessness_age_demographics (CALENDAR_YEAR, LOCATION, AGE_GROUP_PUBLIC, EXPERIENCING_HOMELESSNESS_CNT)
us_population_county (PopulationCount, County)","2,017; California; 25-34; 28,654
2,017; California; 35-44; 25,831
2,017; California; 45-54; 27,651
2,017; California; 55-64; 23,396
2,017; California; 65+; 7,111

10,014,009; los angeles
5,275,541; cook
4,420,568; maricopa
3,298,634; san diego
3,186,989; orange"
Get homeless population per capita and US shooting incidents per million capita for each county of California.,"

SELECT T5.County, T5.HomelessnessCountCapita, T6.ShootingsPerMillionCapita FROM
(
SELECT T2.County , (CAST(T1.HomelessnessCount AS decimal) / CAST((T2.PopulationCountSum) AS decimal)) AS HomelessnessCountCapita FROM
(SELECT sum(EXPERIENCING_HOMELESSNESS_CNT) as HomelessnessCount, lower(LOCATION) as Area FROM experiencing_homelessness_age_demographics WHERE LOCATION NOT LIKE ""california"" AND CALENDAR_YEAR=2020 AND LOCATION NOT LIKE '%(los angeles county)%' group by Area order by HomelessnessCount) T1
join
(SELECT County, Sum(PopulationCount) as PopulationCountSum FROM us_population_county GROUP BY County) T2
ON T1.Area LIKE concat('%', T2.County, '%')
) T5
JOIN
(
SELECT T4.County, (CAST(T3.IncidentCount AS decimal) / CAST((T4.PopulationCount/1000000) AS decimal)) AS ShootingsPerMillionCapita FROM 
(SELECT CityOrCounty, Count(*) AS IncidentCount from us_shootings GROUP BY CityOrCounty) T3
JOIN 
(SELECT County, PopulationCount FROM us_population_county GROUP BY County, PopulationCount) T4
ON T3.CityOrCounty LIKE T4.County
) T6
ON T5.County LIKE concat('%', T6.County, '%')
ORDER BY ShootingsPerMillionCapita DESC","experiencing_homelessness_age_demographics (CALENDAR_YEAR, LOCATION, AGE_GROUP_PUBLIC, EXPERIENCING_HOMELESSNESS_CNT)
us_population_county (PopulationCount, County)
us_shootings (IncidentID, Address, IncidentDate, State, CityOrCountry, VictimsKilled, VictimsInjured, SuspectsInjured, SuspectsKilled, SuspectsArrested)","2,017; California; 25-34; 28,654
2,017; California; 35-44; 25,831
2,017; California; 45-54; 27,651
2,017; California; 55-64; 23,396
2,017; California; 65+; 7,111

10,014,009; los angeles
5,275,541; cook
4,420,568; maricopa
3,298,634; san diego
3,186,989; orange

92194; Rockingham Street and Berkley Avenue Extended; January 1, 2014; virginia; Norfolk; 2; 2; 0; 0; 0 
92704; Farmers Boulevard and 133rd Avenue; January 3, 2014; new york; Queens; 1; 3; 0; 0; 0
94514; 829 Parade St; January 5, 2014; pennsylvania; Erie; 1; 3; 0; 0; 0
95146; 3430 W. Capitol Street; January 11, 2014; mississippi; Jackson; 0; 4; 0; 0; 0
95500; 3600 block of Highway 80 W; January 12, 2014; louisiana; Tallulah; 0; 6; 0; 0; 8"
"For each county, get shooting incidents per million capita, and income per million capita.","SELECT T5.County, T5.MedianFamilyIncomePerMillionCapita, T6.ShootingsPerMillionCapita FROM
(
SELECT T2.County , (CAST(T1.MedianFamilyIncome AS decimal) / CAST((T2.PopulationCountSum/1000000) AS decimal)) AS MedianFamilyIncomePerMillionCapita FROM
(SELECT avg(MedianFamilyIncome) as MedianFamilyIncome, lower(County) as Area FROM food_access group by Area order by MedianFamilyIncome) T1
join
(SELECT County, Sum(PopulationCount) as PopulationCountSum FROM us_population_county GROUP BY County) T2
ON T1.Area LIKE concat('%', T2.County, '%')
) T5
JOIN
(
SELECT T4.County, (CAST(T3.IncidentCount AS decimal) / CAST((T4.PopulationCount/1000000) AS decimal)) AS ShootingsPerMillionCapita FROM 
(SELECT CityOrCounty, Count(*) AS IncidentCount from us_shootings GROUP BY CityOrCounty) T3
JOIN 
(SELECT County, PopulationCount FROM us_population_county GROUP BY County, PopulationCount) T4
ON T3.CityOrCounty LIKE T4.County
) T6
ON T5.County LIKE concat('%', T6.County, '%')
ORDER BY ShootingsPerMillionCapita DESC","food_access (CensusTract, State, County, Urban, Pop2010, Ohu2010, LILATracts_1And10, LILATracts_halfAnd10, LILATracks_1And20, LILATracts Vehicle, HUNVFlag, LowIncomeTracts, PovertyRate, MedianFamilyIncome, LA1and10, LAhalfand10, LA1and20, LATracts_half, LATracts1, LATracts10, LATracts20, LATractsVehicle_20, LAPOP1_10, LAPOP05_10, LAPOP1_20, LALOWI1_10, LALOWI05_10, LALOWI1_20, lapophalf, lalowihalf, lakidshalf, laseniorshalf, lawhitehalf, lablackhalf, laasianhalf, lanhopihalf, laaianhalf, laomultirhalf, lahisphalf, lahunvhalf, lasnaphalf, lapop1, lalowi1, lakids1, laseniors1, lawhite1, lablack1, laasian1, lanhopi1, laaian1, laomultir1, lahisp1, lahunv1, lasnap1, lapop10, lalowi10, lakids10, laseniors10, lawhite10, lablack10, laasian10, lanhopi10, laaian10, laomultir10, lahisp10, lahunv10, lasnap10, lapop20, lalowi20, lakids20, laseniors20, lawhite20, lablack20, laasian20, lanhopi20, laaian20, laomultir20, lahisp20, lahunv20, lasnap20, TractLOWI, TractKids, TractSeniors, TractWhite, TractBlack, TractAsian, TractNHOPI, TractAIAN, TractOMultir, TractHispanic, TractHUNV, TractSNAP)
us_population_county (PopulationCount, County)
us_shootings (IncidentID, Address, IncidentDate, State, CityOrCountry, VictimsKilled, VictimsInjured, SuspectsInjured, SuspectsKilled, SuspectsArrested)","1001020200; Alabama; Autauga County; True; 2170; 743; True; True; True; False; False; True; 17.8767876787679; 49000.0; True; True; True; True; True; False; False; False; 1260.99165114062; 2169.99999844283; 1260.99165114062; 603.892736822134; 962.199452747125; 603.892736822134; 2169.99999844283; 962.199452747125; 606.000004256843; 214.000000738888; 888.0000034582339; 1216.99999422708; 5.00000016423473; 0.0; 5.00000025414192; 55.000000683561694; 75.0000008789939; 92.6735537431232; 161.207232792236; 1260.99165114062; 603.892736822134; 405.66095126047696; 126.604568023526; 356.61774701043; 854.189484903007; 4.00000012698183; 0.0; 4.396176368820311; 41.788243642047696; 32.9808816386503; 66.9035368359182; 96.2081004927459; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 802.0; 606.0; 214.0; 888.0; 1217.0; 5.0; 0.0; 5.0; 55.0; 75.0; 89.0; 156.0
1001020300; Alabama; Autauga County; True; 3373; 1256; False; False; False; False; False; False; 15.0460299194476; 62609.0; True; True; True; True; True; False; False; False; 1551.703935422; 2856.85924210027; 1551.703935422; 478.26088600792; 971.1124754119661; 478.26088600792; 2856.85924210027; 971.1124754119661; 771.0404631514099; 357.634553509532; 2176.59024707042; 554.235596228391; 10.268051495892; 0.999999994412065; 10.2426894805394; 104.522662476986; 77.61247311893379; 38.766794804483695; 138.827400866081; 1551.703935422; 478.26088600792; 416.14412296470306; 200.909176319838; 1241.65069302917; 255.139124440029; 8.03314933297224; 0.0; 2.07600623974577; 44.8049664590508; 36.2625889331102; 0.0; 73.6664877342992; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1306.0; 894.0; 439.0; 2576.0; 647.0; 17.0; 5.0; 11.0; 117.0; 87.0; 99.0; 172.0
1001020400; Alabama; Autauga County; True; 4386; 1722; False; False; False; False; False; False; 2.84521012790394; 70607.0; True; True; True; True; True; False; False; False; 1363.46688491851; 3651.0610152557506; 1363.46688491851; 343.21566302795; 893.201509368606; 343.21566302795; 3651.0610152557506; 893.201509368606; 846.6137828379871; 766.5214912407101; 3395.06192030013; 170.065451807342; 14.8747536134906; 2.63838410377502; 8.03340606880374; 60.3871135036461; 61.4377790470608; 19.4224390552845; 84.08552581025289; 1363.46688491851; 343.21566302795; 345.966882281005; 236.526444971561; 1233.27443863451; 80.94741975702351; 6.87503228150308; 2.0; 3.53994023916312; 36.8300541522913; 29.8595399348997; 7.94138001510873; 30.3018299518153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 922.0; 1015.0; 904.0; 4086.0; 193.0; 18.0; 4.0; 11.0; 74.0; 85.0; 21.0; 98.0
1001020500; Alabama; Autauga County; True; 10766; 4082; False; False; False; False; True; False; 15.150890925945; 96334.0; True; True; True; True; True; False; False; True; 2643.09516064357; 7778.3961880384; 2643.09516064357; 586.413137416705; 1718.88530989026; 586.413137416705; 7778.3961880384; 1718.88530989026; 2309.47565054335; 839.885470594745; 6298.71033511916; 1000.6784957815; 208.982770854025; 5.196509700734169; 37.9940500581579; 226.834061708068; 276.914590887143; 163.892167929414; 235.035150883414; 2643.09516064357; 586.413137416705; 714.553589399904; 361.67550483206304; 2167.77135492349; 343.210836007725; 47.494541832595104; 0.953196540474892; 13.5609651138948; 70.1042781749275; 85.8137559707975; 55.2118834015855; 83.1438104688859; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2242.0; 3162.0; 1126.0; 8666.0; 1437.0; 296.0; 9.0; 48.0; 310.0; 355.0; 230.0; 339.0
1001020600; Alabama; Autauga County; True; 3668; 1311; True; True; True; False; False; True; 21.5776633233939; 69521.0; True; True; True; True; True; False; False; False; 3437.56507732149; 3668.0000076982; 3437.56507732149; 1584.76866440132; 1673.78599370766; 1584.76866440132; 3668.0000076982; 1673.78599370766; 1008.00000233381; 411.000002040586; 2751.00001292943; 739.999998836371; 9.00000009796349; 1.00000003864989; 10.000000123342; 156.999999912572; 175.999999234802; 72.5906576564921; 220.468470616936; 3437.56507732149; 1584.76866440132; 954.764219199693; 374.78767248062707; 2539.09242930904; 726.240667275852; 9.00000009796349; 1.00000003864989; 9.46368354884908; 152.768304235884; 168.392079646117; 71.709784436749; 205.885418922378; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1659.0; 1008.0; 411.0; 2751.0; 740.0; 9.0; 1.0; 10.0; 157.0; 176.0; 71.0; 224.0

10,014,009; los angeles
5,275,541; cook
4,420,568; maricopa
3,298,634; san diego
3,186,989; orange

92194; Rockingham Street and Berkley Avenue Extended; January 1, 2014; virginia; Norfolk; 2; 2; 0; 0; 0 
92704; Farmers Boulevard and 133rd Avenue; January 3, 2014; new york; Queens; 1; 3; 0; 0; 0
94514; 829 Parade St; January 5, 2014; pennsylvania; Erie; 1; 3; 0; 0; 0
95146; 3430 W. Capitol Street; January 11, 2014; mississippi; Jackson; 0; 4; 0; 0; 0
95500; 3600 block of Highway 80 W; January 12, 2014; louisiana; Tallulah; 0; 6; 0; 0; 8"
"For each state, get shooting incidents per million capita, and income per million capita.","SELECT T5.State, T5.MedianFamilyIncomePerMillionCapita, T6.ShootingsPerMillionCapita FROM
(
SELECT T2.State , (CAST(T1.MedianFamilyIncome AS decimal) / CAST((T2.PopulationCountSum/1000000) AS decimal)) AS MedianFamilyIncomePerMillionCapita FROM
(SELECT avg(MedianFamilyIncome) as MedianFamilyIncome, lower(State) as State FROM food_access group by State order by MedianFamilyIncome) T1
join
(SELECT State, Sum(PopulationCount) as PopulationCountSum FROM us_population GROUP BY State) T2
ON T1.State LIKE concat('%', T2.State, '%')
) T5
JOIN
(
SELECT T4.State, (CAST(T3.IncidentCount AS decimal) / CAST((T4.PopulationCount/1000000) AS decimal)) AS ShootingsPerMillionCapita FROM 
(SELECT State, Count(*) AS IncidentCount from us_shootings GROUP BY State) T3
JOIN 
(SELECT State, PopulationCount FROM us_population GROUP BY State, PopulationCount) T4
ON T3.State LIKE T4.State
) T6
ON T5.State LIKE concat('%', T6.State, '%')
ORDER BY ShootingsPerMillionCapita DESC","food_access (CensusTract, State, County, Urban, Pop2010, Ohu2010, LILATracts_1And10, LILATracts_halfAnd10, LILATracks_1And20, LILATracts Vehicle, HUNVFlag, LowIncomeTracts, PovertyRate, MedianFamilyIncome, LA1and10, LAhalfand10, LA1and20, LATracts_half, LATracts1, LATracts10, LATracts20, LATractsVehicle_20, LAPOP1_10, LAPOP05_10, LAPOP1_20, LALOWI1_10, LALOWI05_10, LALOWI1_20, lapophalf, lalowihalf, lakidshalf, laseniorshalf, lawhitehalf, lablackhalf, laasianhalf, lanhopihalf, laaianhalf, laomultirhalf, lahisphalf, lahunvhalf, lasnaphalf, lapop1, lalowi1, lakids1, laseniors1, lawhite1, lablack1, laasian1, lanhopi1, laaian1, laomultir1, lahisp1, lahunv1, lasnap1, lapop10, lalowi10, lakids10, laseniors10, lawhite10, lablack10, laasian10, lanhopi10, laaian10, laomultir10, lahisp10, lahunv10, lasnap10, lapop20, lalowi20, lakids20, laseniors20, lawhite20, lablack20, laasian20, lanhopi20, laaian20, laomultir20, lahisp20, lahunv20, lasnap20, TractLOWI, TractKids, TractSeniors, TractWhite, TractBlack, TractAsian, TractNHOPI, TractAIAN, TractOMultir, TractHispanic, TractHUNV, TractSNAP)
us_population (CensurYear, State, PopulationCount)
us_shootings (IncidentID, Address, IncidentDate, State, CityOrCountry, VictimsKilled, VictimsInjured, SuspectsInjured, SuspectsKilled, SuspectsArrested)","1001020200; Alabama; Autauga County; True; 2170; 743; True; True; True; False; False; True; 17.8767876787679; 49000.0; True; True; True; True; True; False; False; False; 1260.99165114062; 2169.99999844283; 1260.99165114062; 603.892736822134; 962.199452747125; 603.892736822134; 2169.99999844283; 962.199452747125; 606.000004256843; 214.000000738888; 888.0000034582339; 1216.99999422708; 5.00000016423473; 0.0; 5.00000025414192; 55.000000683561694; 75.0000008789939; 92.6735537431232; 161.207232792236; 1260.99165114062; 603.892736822134; 405.66095126047696; 126.604568023526; 356.61774701043; 854.189484903007; 4.00000012698183; 0.0; 4.396176368820311; 41.788243642047696; 32.9808816386503; 66.9035368359182; 96.2081004927459; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 802.0; 606.0; 214.0; 888.0; 1217.0; 5.0; 0.0; 5.0; 55.0; 75.0; 89.0; 156.0
1001020300; Alabama; Autauga County; True; 3373; 1256; False; False; False; False; False; False; 15.0460299194476; 62609.0; True; True; True; True; True; False; False; False; 1551.703935422; 2856.85924210027; 1551.703935422; 478.26088600792; 971.1124754119661; 478.26088600792; 2856.85924210027; 971.1124754119661; 771.0404631514099; 357.634553509532; 2176.59024707042; 554.235596228391; 10.268051495892; 0.999999994412065; 10.2426894805394; 104.522662476986; 77.61247311893379; 38.766794804483695; 138.827400866081; 1551.703935422; 478.26088600792; 416.14412296470306; 200.909176319838; 1241.65069302917; 255.139124440029; 8.03314933297224; 0.0; 2.07600623974577; 44.8049664590508; 36.2625889331102; 0.0; 73.6664877342992; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1306.0; 894.0; 439.0; 2576.0; 647.0; 17.0; 5.0; 11.0; 117.0; 87.0; 99.0; 172.0
1001020400; Alabama; Autauga County; True; 4386; 1722; False; False; False; False; False; False; 2.84521012790394; 70607.0; True; True; True; True; True; False; False; False; 1363.46688491851; 3651.0610152557506; 1363.46688491851; 343.21566302795; 893.201509368606; 343.21566302795; 3651.0610152557506; 893.201509368606; 846.6137828379871; 766.5214912407101; 3395.06192030013; 170.065451807342; 14.8747536134906; 2.63838410377502; 8.03340606880374; 60.3871135036461; 61.4377790470608; 19.4224390552845; 84.08552581025289; 1363.46688491851; 343.21566302795; 345.966882281005; 236.526444971561; 1233.27443863451; 80.94741975702351; 6.87503228150308; 2.0; 3.53994023916312; 36.8300541522913; 29.8595399348997; 7.94138001510873; 30.3018299518153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 922.0; 1015.0; 904.0; 4086.0; 193.0; 18.0; 4.0; 11.0; 74.0; 85.0; 21.0; 98.0
1001020500; Alabama; Autauga County; True; 10766; 4082; False; False; False; False; True; False; 15.150890925945; 96334.0; True; True; True; True; True; False; False; True; 2643.09516064357; 7778.3961880384; 2643.09516064357; 586.413137416705; 1718.88530989026; 586.413137416705; 7778.3961880384; 1718.88530989026; 2309.47565054335; 839.885470594745; 6298.71033511916; 1000.6784957815; 208.982770854025; 5.196509700734169; 37.9940500581579; 226.834061708068; 276.914590887143; 163.892167929414; 235.035150883414; 2643.09516064357; 586.413137416705; 714.553589399904; 361.67550483206304; 2167.77135492349; 343.210836007725; 47.494541832595104; 0.953196540474892; 13.5609651138948; 70.1042781749275; 85.8137559707975; 55.2118834015855; 83.1438104688859; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2242.0; 3162.0; 1126.0; 8666.0; 1437.0; 296.0; 9.0; 48.0; 310.0; 355.0; 230.0; 339.0
1001020600; Alabama; Autauga County; True; 3668; 1311; True; True; True; False; False; True; 21.5776633233939; 69521.0; True; True; True; True; True; False; False; False; 3437.56507732149; 3668.0000076982; 3437.56507732149; 1584.76866440132; 1673.78599370766; 1584.76866440132; 3668.0000076982; 1673.78599370766; 1008.00000233381; 411.000002040586; 2751.00001292943; 739.999998836371; 9.00000009796349; 1.00000003864989; 10.000000123342; 156.999999912572; 175.999999234802; 72.5906576564921; 220.468470616936; 3437.56507732149; 1584.76866440132; 954.764219199693; 374.78767248062707; 2539.09242930904; 726.240667275852; 9.00000009796349; 1.00000003864989; 9.46368354884908; 152.768304235884; 168.392079646117; 71.709784436749; 205.885418922378; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1659.0; 1008.0; 411.0; 2751.0; 740.0; 9.0; 1.0; 10.0; 157.0; 176.0; 71.0; 224.0

2010; alabama; 4779736
2010; alaska; 710231
2010; american samoa; 55519
2010; arizona; 6392017
2010; arkansas; 477936

92194; Rockingham Street and Berkley Avenue Extended; January 1, 2014; virginia; Norfolk; 2; 2; 0; 0; 0 
92704; Farmers Boulevard and 133rd Avenue; January 3, 2014; new york; Queens; 1; 3; 0; 0; 0
94514; 829 Parade St; January 5, 2014; pennsylvania; Erie; 1; 3; 0; 0; 0
95146; 3430 W. Capitol Street; January 11, 2014; mississippi; Jackson; 0; 4; 0; 0; 0
95500; 3600 block of Highway 80 W; January 12, 2014; louisiana; Tallulah; 0; 6; 0; 0; 8"
Get count of suspects arrested each month over the years.,"SELECT
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  ) AS `IncidentDate`,
  SUM(`us_shootings`.`SuspectsArrested`) AS `sum`,
  AVG(`us_shootings`.`SuspectsArrested`) AS `avg`
FROM
  `us_shootings`
GROUP BY
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  )
ORDER BY
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  ) ASC
","us_shootings (IncidentID, Address, IncidentDate, State, CityOrCountry, VictimsKilled, VictimsInjured, SuspectsInjured, SuspectsKilled, SuspectsArrested)","92194; Rockingham Street and Berkley Avenue Extended; January 1, 2014; virginia; Norfolk; 2; 2; 0; 0; 0 
92704; Farmers Boulevard and 133rd Avenue; January 3, 2014; new york; Queens; 1; 3; 0; 0; 0
94514; 829 Parade St; January 5, 2014; pennsylvania; Erie; 1; 3; 0; 0; 0
95146; 3430 W. Capitol Street; January 11, 2014; mississippi; Jackson; 0; 4; 0; 0; 0
95500; 3600 block of Highway 80 W; January 12, 2014; louisiana; Tallulah; 0; 6; 0; 0; 8"
"Get count of victims injured, suspects arrested and suspects killed for each incident.","SELECT SUM(VictimsInjured) AS VictimsInjured, Sum(SuspectsArrested) AS SuspectsArrested, SUM(SuspectsKilled) AS SuspectsKilled, IncidentDate FROM us_shootings WHERE IncidentDate != '20171001' GROUP BY IncidentDate","us_shootings (IncidentID, Address, IncidentDate, State, CityOrCountry, VictimsKilled, VictimsInjured, SuspectsInjured, SuspectsKilled, SuspectsArrested)","92194; Rockingham Street and Berkley Avenue Extended; January 1, 2014; virginia; Norfolk; 2; 2; 0; 0; 0 
92704; Farmers Boulevard and 133rd Avenue; January 3, 2014; new york; Queens; 1; 3; 0; 0; 0
94514; 829 Parade St; January 5, 2014; pennsylvania; Erie; 1; 3; 0; 0; 0
95146; 3430 W. Capitol Street; January 11, 2014; mississippi; Jackson; 0; 4; 0; 0; 0
95500; 3600 block of Highway 80 W; January 12, 2014; louisiana; Tallulah; 0; 6; 0; 0; 8"
"For each month, get count of victims killed and average of victims killed in each shooting incident.","SELECT
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  ) AS `IncidentDate`,
  SUM(`us_shootings`.`VictimsKilled`) AS `sum`,
  AVG(`us_shootings`.`VictimsKilled`) AS `avg`
FROM
  `us_shootings`
GROUP BY
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  )
ORDER BY
  STR_TO_DATE(
    CONCAT(
      DATE_FORMAT(`us_shootings`.`IncidentDate`, '%Y-%m'),
      '-01'
    ),
    '%Y-%m-%d'
  ) ASC","us_shootings (IncidentID, Address, IncidentDate, State, CityOrCountry, VictimsKilled, VictimsInjured, SuspectsInjured, SuspectsKilled, SuspectsArrested)","92194; Rockingham Street and Berkley Avenue Extended; January 1, 2014; virginia; Norfolk; 2; 2; 0; 0; 0 
92704; Farmers Boulevard and 133rd Avenue; January 3, 2014; new york; Queens; 1; 3; 0; 0; 0
94514; 829 Parade St; January 5, 2014; pennsylvania; Erie; 1; 3; 0; 0; 0
95146; 3430 W. Capitol Street; January 11, 2014; mississippi; Jackson; 0; 4; 0; 0; 0
95500; 3600 block of Highway 80 W; January 12, 2014; louisiana; Tallulah; 0; 6; 0; 0; 8"
